date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:04:44	190/190	---M-Z	200	added ('OK')	text/plain	etag:%22169-54d758b4b8f13-gzip%22	https://www.oxagile.com/robots.txt		(from )
06:04:49	97541/97541	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Nov%202017%2014:04:32%20GMT	https://www.oxagile.com/	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/index.html	(from )
06:04:53	24933/24933	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202017%2014:04:41%20GMT	https://www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regular.eot	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regular.0.delayed	(from https://www.oxagile.com/)
06:05:00	24934/24934	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202017%2014:04:42%20GMT	https://www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regular.eot?	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regulard41d.eot	(from https://www.oxagile.com/)
06:05:06	24935/24935	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202017%2014:04:50%20GMT	https://www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regular.woff2	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regular.2.delayed	(from https://www.oxagile.com/)
06:05:08	24934/24934	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202017%2014:04:54%20GMT	https://www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regular.woff	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regular.woff	(from https://www.oxagile.com/)
06:05:10	24933/24933	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202017%2014:04:56%20GMT	https://www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regular.ttf	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regular.ttf	(from https://www.oxagile.com/)
06:05:13	24933/24933	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202017%2014:04:59%20GMT	https://www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regular.svg	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/fonts/bootstrap/glyphicons-halflings-regular.svg	(from https://www.oxagile.com/)
06:05:17	75220/75220	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22125d4-55d11c5634dc0%22	https://www.oxagile.com/assets/fonts/font-awesome/fontawesome-webfont.eot?v=4.6.1	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/fonts/font-awesome/fontawesome-webfont914c.eot	(from https://www.oxagile.com/)
06:05:18	75220/75220	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22125d4-55d11c5634dc0%22	https://www.oxagile.com/assets/fonts/font-awesome/fontawesome-webfont.eot?	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/fonts/font-awesome/fontawesome-webfontd41d.eot	(from https://www.oxagile.com/)
06:05:19	70728/70728	---M--	200	added ('OK')	text/html	etag:%2211448-55d11c581d240%22	https://www.oxagile.com/assets/fonts/font-awesome/fontawesome-webfont.woff2?v=4.6.1	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/fonts/font-awesome/fontawesome-webfont914c.html	(from https://www.oxagile.com/)
06:05:23	89076/89076	---M--	200	added ('OK')	application/font-woff	etag:%2215bf4-55d11c581d240%22	https://www.oxagile.com/assets/fonts/font-awesome/fontawesome-webfont.woff?v=4.6.1	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/fonts/font-awesome/fontawesome-webfont914c.woff	(from https://www.oxagile.com/)
06:05:25	35179/35179	---M--	200	added ('OK')	image/jpeg	etag:%22896b-55d11c581d240%22	https://www.oxagile.com/assets/img/footer-bg.jpg	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/img/footer-bg.jpg	(from https://www.oxagile.com/)
06:05:29	14432/14432	---M--	200	added ('OK')	image/png	etag:%223860-55d9fea2ce96c%22	https://www.oxagile.com/assets/img/sprite-normal.png	D:/My%20Web%20Sites/puzzlerzWeb/www.oxagile.com/assets/img/sprite-normal.png	(from https://www.oxagile.com/)
